original_id	work_title	work_authors	file_format	file_size	number_of_access	original_source
Erótica|Rafael Rodrigues Gomes	Erótica	Rafael Rodrigues Gomes	.pdf	127,99              KB	1.148	[ea] Edição do Autor
Esaú e Jacó|Machado de Assis	Esaú e Jacó	Machado de Assis	.pdf	394,47              KB	7.839	[ua] Universidade da Amazônia - UNAMA
Esaú e Jacó|Machado de Assis	Esaú e Jacó	Machado de Assis	.pdf	784,96              KB	56.772	[bn] Fundação Biblioteca Nacional
Esaú e Jacó|Machado de Assis	Esaú e Jacó	Machado de Assis	.pdf	709,42              KB	18.499	[bv] Biblioteca Virtual do Estudante Brasileiro / USP
Esparsos e Inéditos|Emílio de Meneses	Esparsos e Inéditos	Emílio de Meneses	.pdf	113,74              KB	655	[fs] Universidade Federal de Santa Catarina - UFSC
Espumas Flutuantes|Antônio Frederico de Castro Alves	Espumas Flutuantes	Antônio Frederico de Castro Alves	.pdf	177,61              KB	4.207	[ua] Universidade da Amazônia - UNAMA
Espumas Flutuantes|Antônio Frederico de Castro Alves	Espumas Flutuantes	Antônio Frederico de Castro Alves	.pdf	1,15              MB	26.317	[bv] Biblioteca Virtual do Estudante Brasileiro / USP
Espumas Flutuantes|Antônio Frederico de Castro Alves	Espumas Flutuantes	Antônio Frederico de Castro Alves	.pdf	388,02              KB	15.059	[bn] Fundação Biblioteca Nacional
Esta tarde a trovoada caiu|Alberto Caeiro	Esta tarde a trovoada caiu	Alberto Caeiro	.pdf	37,08              KB	696	[wk] Wikipédia, a enciclopédia livre
Estas quatro canções, escrevi-as estando doente|Alberto Caeiro	Estas quatro canções, escrevi-as estando doente	Alberto Caeiro	.pdf	33,10              KB	687	[wk] Wikipédia, a enciclopédia livre
Estas verdades não são perfeitas porque são ditas|Alberto Caeiro	Estas verdades não são perfeitas porque são ditas	Alberto Caeiro	.pdf	30,83              KB	965	[wk] Wikipédia, a enciclopédia livre
Este mundo da injustiça globalizada|José Saramago	Este mundo da injustiça globalizada	José Saramago	.pdf	28,37              KB	119.836	[ph] Phoenix-Library
Estes, que m’ora tolhem mia Senhor|Afonso Sanches	Estes, que m’ora tolhem mia Senhor	Afonso Sanches	.pdf	33,17              KB	533	[wk] Wikipédia, a enciclopédia livre
Estou doente|Alberto Caeiro	Estou doente	Alberto Caeiro	.pdf	30,51              KB	914	[wk] Wikipédia, a enciclopédia livre
Estrada a Fora|Auta de Sousa	Estrada a Fora	Auta de Sousa	.pdf	32,38              KB	683	[wk] Wikipédia, a enciclopédia livre
Estórias de Jenni|François-Marie Arouet (Voltaire)	Estórias de Jenni	François-Marie Arouet (Voltaire)	.pdf	114,35              KB	3.717	[cv] CultVox
Eterna Mágoa|Augusto dos Anjos	Eterna Mágoa	Augusto dos Anjos	.pdf	79,14              KB	30.575	[bv] Biblioteca Virtual do Estudante Brasileiro / USP
Eterna dor|Auta de Sousa	Eterna dor	Auta de Sousa	.pdf	33,57              KB	600	[wk] Wikipédia, a enciclopédia livre
Eterno!|Machado de Assis	Eterno!	Machado de Assis	.pdf	63,61              KB	7.220	[bv] Biblioteca Virtual do Estudante Brasileiro / USP
Eu|Augusto dos Anjos	Eu	Augusto dos Anjos	.pdf	149,31              KB	59.104	[bn] Fundação Biblioteca Nacional
Eu e Outras Poesias|Augusto dos Anjos	Eu e Outras Poesias	Augusto dos Anjos	.pdf	425,34              KB	56.859	[bv] Biblioteca Virtual do Estudante Brasileiro / USP
Eu nasci além dos mares|Casimiro de Abreu	Eu nasci além dos mares	Casimiro de Abreu	.pdf	52,48              KB	1.185	[wk] Wikipédia, a enciclopédia livre
Eu nunca guardei rebanhos|Alberto Caeiro	Eu nunca guardei rebanhos	Alberto Caeiro	.pdf	37,74              KB	860	[wk] Wikipédia, a enciclopédia livre
Eu queria ter o tempo e o sossego suficientes|Alberto Caeiro	Eu queria ter o tempo e o sossego suficientes	Alberto Caeiro	.pdf	31,67              KB	865	[wk] Wikipédia, a enciclopédia livre
Eu sou a vida; eu não sou a morte|Qorpo Santo	Eu sou a vida; eu não sou a morte	Qorpo Santo	.pdf	93,32              KB	4.689	[bi] Biblioteca Virtual de Literatura
Eurico, o Presbítero|Alexandre Herculano	Eurico, o Presbítero	Alexandre Herculano	.pdf	331,06              KB	10.590	[ua] Universidade da Amazônia - UNAMA
Evolução|Machado de Assis	Evolução	Machado de Assis	.pdf	63,28              KB	7.256	[bv] Biblioteca Virtual do Estudante Brasileiro / USP
Ex Cathedra|Machado de Assis	Ex Cathedra	Machado de Assis	.pdf	55,42              KB	6.865	[bv] Biblioteca Virtual do Estudante Brasileiro / USP
Fabulario|Coelho Netto	Fabulario	Coelho Netto	.pdf	526,93              KB	780	[ub] Universidade de Brasília
Falando ao Coração|Auta de Sousa	Falando ao Coração	Auta de Sousa	.pdf	38,30              KB	833	[wk] Wikipédia, a enciclopédia livre
Falaram-me os homens em humanidade|Alberto Caeiro	Falaram-me os homens em humanidade	Alberto Caeiro	.pdf	29,79              KB	975	[wk] Wikipédia, a enciclopédia livre
Falas de civilização, e de não dever ser|Alberto Caeiro	Falas de civilização, e de não dever ser	Alberto Caeiro	.pdf	32,77              KB	641	[wk] Wikipédia, a enciclopédia livre
Falenas|Machado de Assis	Falenas	Machado de Assis	.pdf	382,69              KB	5.187	[bn] Fundação Biblioteca Nacional
Falenas|Machado de Assis	Falenas	Machado de Assis	.pdf	168,25              KB	2.912	[ua] Universidade da Amazônia - UNAMA
Falenas|Machado de Assis	Falenas	Machado de Assis	.pdf	198,64              KB	2.871	[bv] Biblioteca Virtual do Estudante Brasileiro / USP
Falou-m'hoj'o meu amigo|Dom Dinis	Falou-m'hoj'o meu amigo	Dom Dinis	.pdf	41,65              KB	425	[wk] Wikipédia, a enciclopédia livre
Família composta. (Coleção literatura para todos; v. 7)|Domingos Pellegrini	Família composta. (Coleção literatura para todos; v. 7)	Domingos Pellegrini	.pdf	554,99              KB	939	[me] Ministério da Educação
Farsa de Inês Pereira|Gil Vicente	Farsa de Inês Pereira	Gil Vicente	.pdf	491,17              KB	30.438	[bv] Biblioteca Virtual do Estudante Brasileiro / USP
Farsa do Velho da Horta|Gil Vicente	Farsa do Velho da Horta	Gil Vicente	.pdf	252,36              KB	12.600	[bv] Biblioteca Virtual do Estudante Brasileiro / USP
Farsa ou Auto de Inês Pereira|Gil Vicente	Farsa ou Auto de Inês Pereira	Gil Vicente	.pdf	77,87              KB	5.650	[ua] Universidade da Amazônia - UNAMA
Faróis|João da Cruz e Sousa	Faróis	João da Cruz e Sousa	.pdf	134,88              KB	3.439	[ua] Universidade da Amazônia - UNAMA
Faróis|João da Cruz e Sousa	Faróis	João da Cruz e Sousa	.pdf	814,44              KB	3.651	[bv] Biblioteca Virtual do Estudante Brasileiro / USP
Fatalidade|Artur Azevedo	Fatalidade	Artur Azevedo	.pdf	60,26              KB	1.961	[bi] Biblioteca Virtual de Literatura
Fausto|Johann Wolfgang von Goethe	Fausto	Johann Wolfgang von Goethe	.pdf	912,76              KB	84.485	[eb] eBooksBrasil
Fefa|Auta de Sousa	Fefa	Auta de Sousa	.pdf	35,35              KB	566	[wk] Wikipédia, a enciclopédia livre
Feira dos anexins|Francisco Manuel de Melo	Feira dos anexins	Francisco Manuel de Melo	.pdf	599,72              KB	815	[ub] Universidade de Brasília
