original_id	goodreads_id
Apólogos dialogais|Francisco Manoel de Mello	38223819
Apostilas aos dicionários portugueses|Gonçalves Viana	37603897
Apoteose do Almirante Saldanha da Gama|Honorato Caldas	39426847
Apreciação da revolta praieira em Pernambuco|Urbano Sabino Pessoa de Melo	45550842
Aquela família...|Ladislau Patrício	28966432
Arte da língua brasílica|Luís Figueira	12681706
Arte de dizer|José António Moniz	37288775
Arte de furtar|Padre Manuel da Costa	35662405
Arte de gramática da língua mais usada na costa do Brasil|José de Anchieta	2859065
Arte de ingenio, tratado de la agudeza|Baltasar Gracián	2944042
Árvore da vida, Jesus crucificado|Padre Alexandre de Gusmão, S.J.	39513848
"As ""lições de linguagem"" do Sr. Cândido de Figueiredo|Leite de Vasconcelos"	29981607
As alegres canções do norte|Alberto Pimentel	39533709
As amantes de D. João V|Alberto Pimentel	36105410
As asas de um anjo|José de Alencar	9808065
As desgraças de uma criança|Luís Carlos Martins Pena	53258166
As duas fiandeiras|Gomes de Amorim	31375541
As farpas|Eça de Queirós;Ramalho Ortigão	10103486
As joias da coroa|Raul Pompeia	45298027
As máscaras do destino|Florbela Espanca	6384018
As minas de prata|José de Alencar	10313510
As minas de Salomão|Eça de Queirós	55704312
As minas e a agulheta|Marcos Flamínio Peres	26059612
As netas do Padre Eterno|Alberto Pimentel	37286990
As noites do asceta|Alberto Pimentel	24266989
As obras do celebrado lusitano, o Doutor Francisco de Sá de Miranda|Sá de Miranda	39560396
As praias de Portugal|Ramalho Ortigão	20445589
As quintas|Coelho Neto	23399058
As ratices da Rattazi|Monteiro Ramalho	52175886
As razões da Independência|Nelson Werneck Sodré	18649309
As três irmãs|Camilo Castelo Branco	10373901
Ásia de João de Barros|João Baptista Lavanha;João de Barros	32362019
Aspectos da história e da cultura do Brasil|Oliveira Lima	41984832
Através do Brasil|Olavo Bilac;Manuel José Bonfim	36118936
Au bord du Tage|Paulina de Flaugergues	40427742
Auto da alma|Gil Vicente	3302306
Auto da barca do purgatório|Gil Vicente	24486179
Auto da fé|Gil Vicente	11744561
Auto da natural invenção|António Ribeiro Chiado;Conde de Sabugosa	9752189
Auto da sibila Cassandra|Gil Vicente	29615505
Auto pastoril português|Gil Vicente	1787296
Autópsia da Velhice do Padre Eterno|Padre Sena Freitas	11502539
Autos portugueses de Gil Vicente y de la escuela vicentina|autor anônimo ou sem autoria;Gil Vicente;Carolina Michaëlis de Vasconcelos;Baltasar Dias;Afonso Álvares;António Ribeiro Chiado;António de Lisboa;João de Escobar;Sebastião Pires	41896078
Aventuras de Basílio Fernandes Enxertado|Camilo Castelo Branco	49404866
Aventuras do Dr. Bogoloff|Lima Barreto	11436547
Aves migradoras|Fialho de Almeida	21546286
Badaladas|Machado de Assis	52281053
Bagatelas|Lima Barreto	31948713
Bahia Cabrália e Vera Cruz|Salvador Pires de Carvalho e Aragão	41262830
Balmaceda|Joaquim Nabuco	10364453
Banzo|Coelho Neto	39764475
Barbear, pentear|Fialho de Almeida	27275402
Barco da carreira dos tolos|José Daniel Rodrigues da Costa	37989153
Beiträge zur Ethnographie und Sprachenkunde Amerika's zumal Brasiliens|Von Martius	28310824
Belazarte|Mário de Andrade	4822409
Bemerkungen uber Brasilien|Langsdorff	41504817
Bernardim Ribeiro e os bucolistas|Teófilo Braga	42005171
Bernardo Guimarães|Bernardo Guimarães;Dilermando Cruz	37935366
Beschreibung des Portugiesischen Amerika vom Cudena|Pedro de Cadena de Vilhasanti	11141907
Bibliographia brasiliana|Borba de Moraes	4034051
Biografia da Biblioteca Nacional (1807 a 1990)|Gilberto Vilar de Carvalho	4068721
Boêmia do espírito|Camilo Castelo Branco	36343385
Bom senso e bom gosto|Antero de Quental	10693241
Bom senso e bom gosto|Pinheiro Chagas	11791731
Bom senso e bom gosto|Manoel Roussado	25256087
Bom senso e bom gosto|José Feliciano de Castilho;Pedro Dinis;Urbano Loureiro;João Félix Rodrigues;Alberto Ferreira;Maria José Marinho;Zacarias d'Aça; Zacaria Aça	33124211
Bosquejo da história da poesia brasileira|Joaquim Norberto	6385561
