original_id	work_title	work_authors	authors_lifetime	work_publication_year	work_category	file_format	notes	original_source
Pelos suburbios e visinhanças de Lisboa|Pereira, Gabriel	Pelos suburbios e visinhanças de Lisboa	Pereira, Gabriel	1847-1911	1910	Arqueologia	PDF		Biblioteca Digital do Alentejo
Madrugadas|Pereira, Gabriel	Madrugadas	Pereira, Gabriel	1847-1911	1888	Contos	PDF		Biblioteca Digital do Alentejo
Narrativas para operarios|Pereira, Gabriel	Narrativas para operarios	Pereira, Gabriel	1847-1911	1878	Contos	PDF		Biblioteca Digital do Alentejo
Contos singelos|Pereira, Gabriel	Contos singelos	Pereira, Gabriel	1847-1911	1876	Contos	PDF		Biblioteca Digital do Alentejo
Factos Notaveis da Historia Portugueza e Biographia do Marquez de Pombal|Perestrelo, Josefina Pinto Carneiro	Factos Notaveis da Historia Portugueza e Biographia do Marquez de Pombal	Perestrelo, Josefina Pinto Carneiro		1882	História	HTML, EPUB, MOBI e TXT		Project Gutenberg
Historia de um beijo|Pérez Escrich, Enrique	Historia de um beijo	Pérez Escrich, Enrique	1829-1897	1912	Romance	HTML, EPUB, MOBI e TXT		Project Gutenberg
Clepsydra|Pessanha, Camilo	Clepsydra	Pessanha, Camilo	1867-1926	1920	Poesia	HTML, EPUB, MOBI e TXT		Project Gutenberg
Clepsidra|Pessanha, Camilo	Clepsidra	Pessanha, Camilo	1867-1926	2014	Poesia	EPUB e MOBI		Projecto Adamastor
Poemas de Fernando Pessoa|Pessoa, Fernando	Poemas de Fernando Pessoa	Pessoa, Fernando	1888-1935		Poesia	PDF	Fonte Original: Jornal de Poesia	Portal Domínio Público
Mensagem|Pessoa, Fernando	Mensagem	Pessoa, Fernando	1888-1935		Poesia	PDF	Fonte Original: Pessoa Revisitado	Portal Domínio Público
O Eu profundo e os outros Eus|Pessoa, Fernando	O Eu profundo e os outros Eus	Pessoa, Fernando	1888-1935	1913	Drama	PDF	Fonte Original: Colaboração Voluntária	Portal Domínio Público
Livro do Desassossego|Pessoa, Fernando	Livro do Desassossego	Pessoa, Fernando	1888-1935	1986		PDF	Fonte Original: Colaboração Voluntária	Portal Domínio Público
Poesias Inéditas|Pessoa, Fernando	Poesias Inéditas	Pessoa, Fernando	1888-1935		Poesia	PDF	Fonte Original: Jornal de Poesia	Portal Domínio Público
Do Livro do Desassossego|Pessoa, Fernando	Do Livro do Desassossego	Pessoa, Fernando	1888-1935			PDF	Fonte Original: Pessoa Revisitado	Portal Domínio Público
Cancioneiro|Pessoa, Fernando	Cancioneiro	Pessoa, Fernando	1888-1935		Poesia	PDF	Fonte Original: Phoenix-Library	Portal Domínio Público
Cancioneiro|Pessoa, Fernando	Cancioneiro	Pessoa, Fernando	1888-1935		Poesia	PDF	Fonte Original: Pessoa Revisitado	Portal Domínio Público
O pastor amoroso|Pessoa, Fernando	O pastor amoroso	Pessoa, Fernando	1888-1935		Poesia	PDF	Fonte Original: Colaboração Voluntária	Portal Domínio Público
